Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
TRANSFER,2,2,-61.38,1017.72,Shipping on time,0,2,Cardio Equipment,Arecibo,Puerto Rico,XXXXXXXXX,Dennis,9651,Hill,XXXXXXXXX,Home Office,PR,8866 Sample Street,973,2,Fitness,44.12508874,82.42728296,Africa,Kuala Lumpur,Perú,9651,8/1/2018 20:11,90853,810,32,0.08,194168,399.99,-0.0556,3,1103.97,1199.97,-61.38,North Africa,MI,PAYMENT_REVIEW,,810,2,,http://images.acmesports.sports/Cardio+Equipment,Cardio Equipment,399.99,0,8/3/2018 20:11,First Class
CASH,2,3,13.97,56.16,Advance shipping,0,73,Sporting Goods,Houston,EE. UU.,XXXXXXXXX,Samuel,3391,Nelson,XXXXXXXXX,Consumer,AZ,4068 Sample Street,32868,73,Fan Shop,61.76040015,-144.09275718,USCA,São Paulo,Estados Unidos,3391,8/1/2018 11:58,90854,1360,0,0,194169,24.99,0.2795,2,49.98,49.98,13.97,South of  USA,TX,PENDING_PAYMENT,,1360,73,,http://images.acmesports.sports/Sporting+Goods,Sporting Goods,24.99,0,8/3/2018 11:58,Second Class
TRANSFER,7,4,177.9,622.44,Late delivery,1,73,Sporting Goods,Carolina,EE. UU.,XXXXXXXXX,Harold,7101,Miller,XXXXXXXXX,Consumer,MI,5276 Sample Street,35218,73,Fan Shop,-9.73377877,-71.03715482,Pacific Asia,Tel Aviv,Indonesia,7101,8/1/2018 05:45,90855,627,16,0.08,194170,199.99,0.3223,3,551.97,599.97,177.9,Southeast Asia,FL,CLOSED,,627,73,,http://images.acmesports.sports/Sporting+Goods,Sporting Goods,199.99,0,8/8/2018 05:45,Standard Class
TRANSFER,3,4,25.25,83.14,Advance shipping,0,73,Sporting Goods,San Jose,EE. UU.,XXXXXXXXX,Alexander,523,Williams,XXXXXXXXX,Corporate,MI,5483 Sample Street,68227,73,Fan Shop,52.85287141,48.27822317,Pacific Asia,Stockholm,Bélgica,523,8/1/2018 01:03,90856,810,6,0.2,194171,29.99,0.3508,3,71.98,89.97,25.25,West Asia,PA,ON_HOLD,81076,810,73,,http://images.acmesports.sports/Sporting+Goods,Sporting Goods,29.99,0,8/4/2018 01:03,Standard Class
PAYMENT,2,3,80.69,198.44,Advance shipping,0,22,Fishing,San Antonio,EE. UU.,XXXXXXXXX,Jerry,13881,White,XXXXXXXXX,Corporate,GA,8434 Sample Street,57305,22,Outdoors,11.77820943,-92.40890362,USCA,São Paulo,Grecia,13881,8/1/2018 10:38,90857,810,18,0.2,194172,89.99,0.3736,3,215.98,269.97,80.69,South of  USA,AZ,SUSPECTED_FRAUD,72860,810,22,,http://images.acmesports.sports/Fishing,Fishing,89.99,0,8/3/2018 10:38,Second Class
DEBIT,4,1,167.53,762.37,Late delivery,1,73,Shop By Sport,San Antonio,EE. UU.,XXXXXXXXX,William,2840,Tate,XXXXXXXXX,Home Office,IL,8216 Sample Street,74832,73,Fan Shop,19.56600484,-146.35496983,Europe,Nairobi,Bélgica,2840,8/1/2018 13:41,90858,403,75,0.25,194173,299.99,0.2482,3,674.98,899.97,167.53,Southern Europe,IL,CLOSED,,403,73,,http://images.acmesports.sports/Shop+By+Sport,Shop By Sport,299.99,0,8/5/2018 13:41,Same Day
CASH,5,2,48.27,325.82,Late delivery,1,73,Cleats,Ponce,EE. UU.,XXXXXXXXX,Harold,3547,Martinez,XXXXXXXXX,Home Office,GA,8471 Sample Street,73347,73,Fan Shop,15.90742172,49.27431462,Africa,Johannesburg,Ecuador,3547,8/1/2018 01:30,90859,365,22.5,0.25,194174,89.99,0.1788,4,269.97,359.96,48.27,Central Africa,FL,ON_HOLD,46059,365,73,,http://images.acmesports.sports/Cleats,Cleats,89.99,0,8/6/2018 01:30,First Class
DEBIT,5,2,61.81,214.35,Late delivery,1,22,Fishing,Los Angeles,EE. UU.,XXXXXXXXX,Sarah,19729,Jones,XXXXXXXXX,Home Office,NJ,7048 Sample Street,44965,22,Outdoors,24.9810489,128.92689958,USCA,Guatemala City,Sudán,19729,8/1/2018 15:12,90860,191,7.2,0.08,194175,89.99,0.3733,2,165.58,179.98,61.81,US Center,WA,ON_HOLD,,191,22,,http://images.acmesports.sports/Fishing,Fishing,89.99,0,8/6/2018 15:12,First Class
DEBIT,3,2,252.74,668.97,Late delivery,1,73,Water Sports,San Jose,EE. UU.,XXXXXXXXX,Zachary,8643,Campbell,XXXXXXXXX,Corporate,CO,9110 Sample Street,33114,73,Fan Shop,-15.54216593,49.6496212,Pacific Asia,Moscow,Reino Unido,8643,8/1/2018 22:19,90861,810,30,0.15,194176,199.99,0.3717,4,679.97,799.96,252.74,South Asia,AZ,PROCESSING,,810,73,,http://images.acmesports.sports/Water+Sports,Water Sports,199.99,0,8/4/2018 22:19,First Class
PAYMENT,2,3,28.59,116.78,Advance shipping,0,73,Shop By Sport,Dallas,EE. UU.,XXXXXXXXX,Thomas,8754,Davis,XXXXXXXXX,Corporate,NY,8061 Sample Street,10226,73,Fan Shop,32.86888399,125.40188367,Pacific Asia,Kampala,Dinamarca,8754,8/1/2018 17:18,90862,810,5,0.1,194177,49.99,0.3177,2,89.98,99.98,28.59,Oceania,WA,SUSPECTED_FRAUD,,810,73,,http://images.acmesports.sports/Shop+By+Sport,Shop By Sport,49.99,0,8/3/2018 17:18,Second Class
TRANSFER,0,1,5.66,273.48,Advance shipping,0,8,Electronics,Houston,EE. UU.,XXXXXXXXX,Jonathan,16649,Baker,XXXXXXXXX,Home Office,NJ,8725 Sample Street,52586,8,Technology,22.78316709,-18.55680858,Africa,Tel Aviv,Alemania,16649,8/1/2018 22:48,90863,191,12,0.15,194178,79.99,0.0208,4,271.97,319.96,5.66,North Africa,NC,PAYMENT_REVIEW,40645,191,8,,http://images.acmesports.sports/Electronics,Electronics,79.99,0,8/1/2018 22:48,Same Day
PAYMENT,3,3,10.85,112.49,Shipping on time,0,73,Sporting Goods,Phoenix,EE. UU.,XXXXXXXXX,Nathan,927,Mitchell,XXXXXXXXX,Corporate,FL,8585 Sample Street,97597,73,Fan Shop,-38.8875563,88.01426155,Africa,Nairobi,Perú,927,8/1/2018 20:59,90864,191,26,0.2,194179,129.99,0.1043,1,103.99,129.99,10.85,Southern Africa,CO,PAYMENT_REVIEW,,191,73,,http://images.acmesports.sports/Sporting+Goods,Sporting Goods,129.99,0,8/4/2018 20:59,Second Class
DEBIT,5,4,-4.08,1720.23,Late delivery,1,2,Cardio Equipment,Arecibo,Puerto Rico,XXXXXXXXX,Albert,20395,Miller,XXXXXXXXX,Consumer,PR,5555 Sample Street,958,2,Fitness,-9.27065455,-52.43020694,USCA,Tel Aviv,Guatemala,20395,8/1/2018 20:00,90865,1360,60,0.15,194180,399.99,-0.003,4,1359.97,1599.96,-4.08,South of  USA,MA,PROCESSING,,1360,2,,http://images.acmesports.sports/Cardio+Equipment,Cardio Equipment,399.99,0,8/6/2018 20:00,Standard Class
PAYMENT,4,1,23.38,85.43,Late delivery,1,22,Camping & Hiking,Chicago,EE. UU.,XXXXXXXXX,Mary,12732,Moore,XXXXXXXXX,Corporate,NC,1005 Sample Street,57256,22,Outdoors,57.80897641,-126.70182044,USCA,Lusaka,Haití,12732,8/1/2018 23:59,90866,810,4,0.05,194181,79.99,0.3077,1,75.99,79.99,23.38,East of USA,MI,PENDING,,810,22,,http://images.acmesports.sports/Camping+&+Hiking,Camping & Hiking,79.99,0,8/5/2018 23:59,Same Day
DEBIT,2,1,-19.83,203.57,Late delivery,1,8,Electronics,Dallas,EE. UU.,XXXXXXXXX,Justin,773,Ramirez,XXXXXXXXX,Consumer,FL,2522 Sample Street,39865,8,Technology,-23.52073029,-4.32382072,USCA,Cairo,Países Bajos,773,8/1/2018 02:39,90867,191,9.6,0.16,194182,59.99,-0.0984,4,201.57,239.96,-19.83,West of USA,NC,PENDING,59516,191,8,,http://images.acmesports.sports/Electronics,Electronics,59.99,0,8/3/2018 02:39,Same Day
TRANSFER,3,3,16.44,95.24,Shipping on time,0,3,Women's Apparel,Houston,EE. UU.,XXXXXXXXX,Terry,50,Perez,XXXXXXXXX,Consumer,MA,3052 Sample Street,16147,3,Apparel,47.33032525,-63.61745857,USCA,Riyadh,Nigeria,50,8/1/2018 18:32,90868,403,9,0.15,194183,59.99,0.1612,2,101.98,119.98,16.44,South of  USA,NJ,PENDING,,403,3,,http://images.acmesports.sports/Women's+Apparel,Women's Apparel,59.99,0,8/4/2018 18:32,Second Class
CASH,4,1,28.29,101.01,Late delivery,1,73,Sporting Goods,Brooklyn,EE. UU.,XXXXXXXXX,Nathan,10326,Clark,XXXXXXXXX,Corporate,IL,9879 Sample Street,50697,73,Fan Shop,-52.9085871,138.89080203,Pacific Asia,Lusaka,Túnez,10326,8/1/2018 21:06,90869,365,5,0.05,194184,99.99,0.2978,1,94.99,99.99,28.29,South Asia,NJ,PENDING,,365,73,,http://images.acmesports.sports/Sporting+Goods,Sporting Goods,99.99,0,8/5/2018 21:06,Same Day
DEBIT,5,2,43.77,123.64,Late delivery,1,3,Accessories,Bronx,EE. UU.,XXXXXXXXX,Steven,19469,Hall,XXXXXXXXX,Home Office,NJ,6430 Sample Street,76871,3,Apparel,52.39700839,-75.17870625,Europe,Cairo,Zambia,19469,8/1/2018 11:18,90870,365,5.2,0.15,194185,34.99,0.3679,4,118.97,139.96,43.77,Southern Europe,PA,PROCESSING,,365,3,,http://images.acmesports.sports/Accessories,Accessories,34.99,0,8/6/2018 11:18,First Class
