Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
PAYMENT,1,2,45.64,1373.73,Advance shipping,0,73,Sporting Goods,San Juan,Puerto Rico,XXXXXXXXX,Anthony,9667,King,XXXXXXXXX,Consumer,PR,7702 Sample Street,917,73,Fan Shop,-28.79187002,148.38264497,Pacific Asia,Brussels,Sudáfrica,9667,10/1/2018 00:33,95903,365,75,0.15,199218,499.99,0.0358,3,1274.97,1499.97,45.64,Oceania,CO,SUSPECTED_FRAUD,40261,365,73,,http://images.acmesports.sports/Sporting+Goods,Sporting Goods,499.99,0,10/2/2018 00:33,First Class
DEBIT,1,1,10.32,124.62,Shipping on time,0,73,Shop By Sport,Bronx,Puerto Rico,XXXXXXXXX,William,7039,Taylor,XXXXXXXXX,Corporate,PR,2028 Sample Street,922,73,Fan Shop,7.16972003,54.97202085,Africa,Copenhagen,Bangladesh,7039,10/1/2018 18:54,95904,191,0,0,199219,49.99,0.1032,2,99.98,99.98,10.32,Central Africa,GA,PENDING,,191,73,,http://images.acmesports.sports/Shop+By+Sport,Shop By Sport,49.99,0,10/2/2018 18:54,Same Day
TRANSFER,3,2,-3.43,57.43,Late delivery,1,8,Electronics,Phoenix,EE. UU.,XXXXXXXXX,Ryan,13223,Davis,XXXXXXXXX,Corporate,NY,4588 Sample Street,47114,8,Technology,22.50543209,-145.99966966,LATAM,Amsterdam,Vietnam,13223,10/1/2018 08:45,95905,810,9.6,0.16,199220,59.99,-0.0681,1,50.39,59.99,-3.43,Central America,NY,PAYMENT_REVIEW,86697,810,8,,http://images.acmesports.sports/Electronics,Electronics,59.99,0,10/4/2018 08:45,First Class
DEBIT,3,2,15.47,110.12,Late delivery,1,3,Accessories,Arecibo,Puerto Rico,XXXXXXXXX,William,4150,Adams,XXXXXXXXX,Corporate,PR,436 Sample Street,925,3,Apparel,35.25727229,-127.47714802,LATAM,Stockholm,Italia,4150,10/1/2018 15:12,95906,403,5.6,0.16,199221,34.99,0.1755,3,88.17,104.97,15.47,Caribbean,,COMPLETE,,403,3,,http://images.acmesports.sports/Accessories,Accessories,34.99,0,10/4/2018 15:12,First Class
DEBIT,2,1,2.95,50.37,Late delivery,1,3,Accessories,Bronx,Puerto Rico,XXXXXXXXX,Walter,19534,Ramirez,XXXXXXXXX,Corporate,PR,6157 Sample Street,947,3,Apparel,52.86010549,160.62062857,Pacific Asia,Tunis,Bélgica,19534,10/1/2018 06:28,95907,403,1.8,0.04,199222,44.99,0.0682,1,43.19,44.99,2.95,South Asia,PA,ON_HOLD,,403,3,,http://images.acmesports.sports/Accessories,Accessories,44.99,0,10/3/2018 06:28,Same Day
CASH,6,4,52.11,112.84,Late delivery,1,3,Accessories,Bronx,EE. UU.,XXXXXXXXX,Brian,11723,White,XXXXXXXXX,Consumer,WA,162 Sample Street,31040,3,Apparel,59.17336395,28.81288971,Europe,Lusaka,Alemania,11723,10/1/2018 03:05,95908,365,8.7,0.25,199223,34.99,0.4964,4,104.97,139.96,52.11,Eastern Europe,FL,CLOSED,,365,3,,http://images.acmesports.sports/Accessories,Accessories,34.99,0,10/7/2018 03:05,Standard Class
PAYMENT,2,1,230.21,1123.67,Late delivery,1,73,Water Sports,Carolina,Puerto Rico,XXXXXXXXX,Austin,20184,Roberts,XXXXXXXXX,Corporate,PR,2715 Sample Street,947,73,Fan Shop,41.57746809,-130.44722745,Pacific Asia,Copenhagen,Suiza,20184,10/1/2018 00:58,95909,1360,0,0,199224,299.99,0.2558,3,899.97,899.97,230.21,Eastern Asia,GA,PENDING,57686,1360,73,,http://images.acmesports.sports/Water+Sports,Water Sports,299.99,0,10/3/2018 00:58,Same Day
PAYMENT,5,3,82.17,259.75,Late delivery,1,3,Women's Apparel,Chicago,EE. UU.,XXXXXXXXX,Gerald,4857,Ramirez,XXXXXXXXX,Consumer,VA,1750 Sample Street,18070,3,Apparel,-42.64711272,86.24243032,Pacific Asia,Shanghai,Polonia,4857,10/1/2018 13:35,95910,191,6,0.1,199225,59.99,0.3805,4,215.96,239.96,82.17,Oceania,MI,CLOSED,,191,3,,http://images.acmesports.sports/Women's+Apparel,Women's Apparel,59.99,0,10/6/2018 13:35,Second Class
CASH,3,4,24.02,104.43,Advance shipping,0,44,Men's Footwear,Caguas,Puerto Rico,XXXXXXXXX,Linda,2960,Adams,XXXXXXXXX,Home Office,PR,9180 Sample Street,969,44,Footwear,64.67341875,-29.07145784,LATAM,Dar es Salaam,Senegal,2960,10/1/2018 10:38,95911,627,0,0,199226,99.99,0.2402,1,99.99,99.99,24.02,Caribbean,PA,CANCELED,,627,44,,http://images.acmesports.sports/Men's+Footwear,Men's Footwear,99.99,0,10/4/2018 10:38,Standard Class
TRANSFER,2,1,-2.33,78.99,Late delivery,1,44,Men's Footwear,Carolina,EE. UU.,XXXXXXXXX,Linda,20600,Thomas,XXXXXXXXX,Consumer,AZ,9883 Sample Street,18168,44,Footwear,-32.91569065,-62.52034368,Africa,San José,India,20600,10/1/2018 11:49,95912,502,0,0,199227,79.99,-0.0291,1,79.99,79.99,-2.33,Southern Africa,NY,ON_HOLD,,502,44,,http://images.acmesports.sports/Men's+Footwear,Men's Footwear,79.99,0,10/3/2018 11:49,Same Day
