Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
DEBIT,2,1,11.39000034,100.7699966,Late delivery,1,29,Shop By Sport,Anaheim,EE. UU.,XXXXXXXXX,Steven,998,Salinas,XXXXXXXXX,Consumer,CA,6091 Harvest Bluff View,92805.0,5,Golf,33.84204102,-117.9182358,Europe,Brighton,Reino Unido,998,4/12/2018 06:22,65956,627,19.20000076,0.159999996,164838,39.99000168,0.109999999,3,119.9700012,100.7699966,11.39000034,Northern Europe,Inglaterra,COMPLETE,,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,4/12/2018 06:22,First Class
TRANSFER,2,1,-30.79000092,188.9199982,Late delivery,0,46,Indoor/Outdoor Games,Caguas,Puerto Rico,XXXXXXXXX,Emma,5430,Smith,XXXXXXXXX,Corporate,PR,1296 High Dale Bend,725.0,7,Fan Shop,18.20509911,-66.37059784,Europe,Gelsenkirchen,Alemania,5430,4/1/2018 10:03,67888,1014,11.0,0.059999999,169730,49.97999954,-0.159999996,4,199.9199982,188.9199982,-30.79000092,Western Europe,Renania del Norte-Westfalia,PENDING,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,4/1/2018 10:03,First Class
TRANSFER,2,2,-26.29999924,131.5,Shipping on time,0,67,DVDs,Phoenix,EE. UU.,XXXXXXXXX,Sylvia,15234,Hoover,XXXXXXXXX,Corporate,AZ,5530 Noble Deer Route,85022.0,9,Discs Shop,33.64781952,-112.0518799,Pacific Asia,Yogyakarta,Indonesia,15234,4/11/2018 02:20,71681,1354,32.88000107,0.200000003,174996,164.3800049,-0.200000003,1,164.3800049,131.5,-26.29999924,Southeast Asia,Yogyakarta,PENDING,,1354,67,,http://images.acmesports.sports/DVDs,DVDs ,164.3800049,0,4/11/2018 02:20,Second Class
DEBIT,2,4,-64.27999878,285.6799927,Advance shipping,0,63,Children's Clothing,Hawthorne,EE. UU.,XXXXXXXXX,Dahlia,13719,Brock,XXXXXXXXX,Consumer,CA,3225 Dusty Autumn Meadow,90250.0,4,Apparel,33.91221619,-118.3525696,Europe,Reggio nell'Emilia,Italia,13719,4/10/2018 22:40,70166,1350,71.41999817,0.200000003,173481,357.1000061,-0.230000004,1,357.1000061,285.6799927,-64.27999878,Southern Europe,Emilia-Romaña,ON_HOLD,,1350,63,,http://images.acmesports.sports/Children+heaters,Children's heaters,357.1000061,0,4/10/2018 22:40,Standard Class
PAYMENT,2,4,2.279999971,9.479999542,Advance shipping,0,61,CDs ,Caguas,Puerto Rico,XXXXXXXXX,Dominique,17789,Valencia,XXXXXXXXX,Consumer,PR,6140 Pleasant Dale Farm,725.0,9,Discs Shop,18.28582764,-66.0370636,Pacific Asia,Manila,Filipinas,17789,4/6/2018 10:05,74236,1348,1.809999943,0.159999996,177551,11.28999996,0.239999995,1,11.28999996,9.479999542,2.279999971,Southeast Asia,Capital Nacional,PENDING_PAYMENT,,1348,61,,http://images.acmesports.sports/CDs+of+rock,CDs of rock,11.28999996,0,4/6/2018 10:05,Standard Class
TRANSFER,6,4,14.60999966,38.95999908,Late delivery,1,75,Video Games,Caguas,Puerto Rico,XXXXXXXXX,Illana,17153,Dean,XXXXXXXXX,Home Office,PR,4079 Green Swale,725.0,9,Discs Shop,18.25489998,-66.03704834,Pacific Asia,Lahore,Pakistán,17153,4/29/2018 23:37,73600,1362,0.800000012,0.02,176915,39.75,0.379999995,1,39.75,38.95999908,14.60999966,South Asia,Punyab,PENDING,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,4/29/2018 23:37,Standard Class
PAYMENT,4,4,17.59000015,48.45000076,Shipping on time,0,60,Baby ,Garden Grove,EE. UU.,XXXXXXXXX,Kelly,12801,Greene,XXXXXXXXX,Consumer,CA,1102 Pleasant Maze ,92843.0,4,Apparel,33.76652145,-117.9461899,Europe,Rome,Italia,12801,4/16/2018 08:18,69248,1347,10.63000011,0.180000007,172563,59.08000183,0.360000014,1,59.08000183,48.45000076,17.59000015,Southern Europe,Lacio,PENDING_PAYMENT,,1347,60,,http://images.acmesports.sports/Baby+sweater,Baby sweater,59.08000183,0,4/16/2018 08:18,Standard Class
PAYMENT,2,1,1.269999981,105.5899963,Late delivery,1,30,Men's Golf Clubs,Caguas,Puerto Rico,XXXXXXXXX,Jerry,5873,Clark,XXXXXXXXX,Corporate,PR,9087 Foggy Townline,725.0,6,Outdoors,18.28213882,-66.37054443,Europe,Washington,Reino Unido,5873,4/19/2018 00:50,65339,666,4.400000095,0.039999999,163309,109.9899979,0.01,1,109.9899979,105.5899963,1.269999981,Northern Europe,Inglaterra,PENDING_PAYMENT,,666,30,,http://images.acmesports.sports/Merrell+Men%27s+All+Out+Flash+Trail+Running+Shoe,Merrell Men's All Out Flash Trail Running Sho,109.9899979,0,4/19/2018 00:50,First Class
PAYMENT,2,1,98.73000336,379.7099915,Late delivery,1,62,Cameras ,Laredo,EE. UU.,XXXXXXXXX,Farrah,13442,Dickerson,XXXXXXXXX,Consumer,TX,4617 Sunny Range,78040.0,10,Technology,27.50863648,-99.50951386,Europe,Bideford,Reino Unido,13442,4/11/2018 07:39,69889,1349,72.33000183,0.159999996,173204,452.0400085,0.25999999,1,452.0400085,379.7099915,98.73000336,Northern Europe,Inglaterra,PENDING_PAYMENT,,1349,62,,http://images.acmesports.sports/Web+Camera,Web Camera,452.0400085,0,4/11/2018 07:39,First Class
DEBIT,3,4,8.800000191,220.0,Advance shipping,1,24,Women's Apparel,Catonsville,EE. UU.,XXXXXXXXX,Kenneth,3420,Price,XXXXXXXXX,Consumer,MD,7740 Emerald Shadow Swale,21228.0,5,Golf,39.27961731,-76.71038055,Europe,Tamworth,Reino Unido,3420,4/5/2018 16:14,65022,502,30.0,0.119999997,162533,50.0,0.039999999,5,250.0,220.0,8.800000191,Northern Europe,Inglaterra,COMPLETE,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,4/5/2018 16:14,Standard Class
