Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
PAYMENT,3,4,4.320000172,34.58000183,Advance shipping,0,75,Video Games,Spring Valley,EE. UU.,XXXXXXXXX,Imogene,19980,Fields,XXXXXXXXX,Consumer,CA,7016 Grand Link,91977.0,9,Discs Shop,38.77941895,-120.5277634,Pacific Asia,Caloocan,Filipinas,19980,2/28/2018 01:27,76427,1362,5.170000076,0.129999995,179742,39.75,0.129999995,1,39.75,34.58000183,4.320000172,Southeast Asia,Capital Nacional,PENDING_PAYMENT,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,2/28/2018 01:27,Standard Class
DEBIT,5,4,85.16999817,251.9799957,Late delivery,1,43,Camping & Hiking,Caguas,Puerto Rico,XXXXXXXXX,Mary,8277,Sanford,XXXXXXXXX,Consumer,PR,1761 Easy Lagoon Mountain,725.0,7,Fan Shop,18.20121193,-66.3705368,Europe,Birmingham,Reino Unido,8277,2/17/2018 15:41,67389,957,48.0,0.159999996,168439,299.980011,0.340000004,1,299.980011,251.9799957,85.16999817,Northern Europe,Inglaterra,COMPLETE,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,2/17/2018 15:41,Standard Class
DEBIT,3,4,-6.760000229,33.79000092,Advance shipping,0,75,Video Games,Caguas,Puerto Rico,XXXXXXXXX,Lydia,17035,Huffman,XXXXXXXXX,Consumer,PR,4839 Lazy View,725.0,9,Discs Shop,18.2863884,-66.03705597,Pacific Asia,Takatsuki,Japón,17035,2/22/2018 19:34,73482,1362,5.960000038,0.150000006,176797,39.75,-0.200000003,1,39.75,33.79000092,-6.760000229,Eastern Asia,Osaka,COMPLETE,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,2/22/2018 19:34,Standard Class
DEBIT,4,4,-29.13999939,39.75,Shipping on time,0,75,Video Games,Houston,EE. UU.,XXXXXXXXX,Eugenia,20171,Moreno,XXXXXXXXX,Consumer,TX,8018 Cozy Deer Port,77015.0,9,Discs Shop,29.83582497,-95.27009583,Pacific Asia,Mount Isa,Australia,20171,2/14/2018 00:02,76618,1362,0.0,0.0,179933,39.75,-0.730000019,1,39.75,39.75,-29.13999939,Oceania,Queensland,COMPLETE,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,2/14/2018 00:02,Standard Class
DEBIT,2,4,27.89999962,278.980011,Advance shipping,0,43,Camping & Hiking,Florissant,EE. UU.,XXXXXXXXX,Mary,4655,Harper,XXXXXXXXX,Consumer,MO,7613 Amber Willow Manor,63031.0,7,Fan Shop,38.79660034,-90.34640503,Europe,Mulhouse,Francia,4655,2/9/2018 08:50,68141,957,21.0,0.07,170366,299.980011,0.100000001,1,299.980011,278.980011,27.89999962,Western Europe,Alsacia-Champaña-Ardenas-Lorena,COMPLETE,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,2/9/2018 08:50,Standard Class
DEBIT,3,4,16.87999916,225.0,Advance shipping,0,24,Women's Apparel,Caguas,Puerto Rico,XXXXXXXXX,Mary,5220,Evans,XXXXXXXXX,Corporate,PR,3510 Umber Wagon  Towers,725.0,5,Golf,18.20843124,-66.37051392,Europe,La Teste-de-Buch,Francia,5220,2/28/2018 06:07,65657,502,25.0,0.100000001,164081,50.0,0.079999998,5,250.0,225.0,16.87999916,Western Europe,Aquitania-Lemosín-Poitou-Charentes,COMPLETE,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,2/28/2018 06:07,Standard Class
DEBIT,2,1,82.79000092,179.9700012,Late delivery,1,17,Cleats,Lawrenceville,EE. UU.,XXXXXXXXX,Mary,9784,Smith,XXXXXXXXX,Consumer,GA,8205 Wishing Pony Cape,30043.0,4,Apparel,33.9720993,-84.02496338,Europe,Marseille,Francia,9784,2/5/2018 13:13,66684,365,59.99000168,0.25,166685,59.99000168,0.460000008,4,239.9600067,179.9700012,82.79000092,Western Europe,Provenza-Alpes-Costa Azul,COMPLETE,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,2/5/2018 13:13,First Class
PAYMENT,3,2,16.57999992,38.56000137,Late delivery,1,75,Video Games,Caguas,Puerto Rico,XXXXXXXXX,Celeste,17170,Herrera,XXXXXXXXX,Consumer,PR,5803 Pleasant Abbey,725.0,9,Discs Shop,18.25051117,-66.0370636,Pacific Asia,Manila,Filipinas,17170,2/12/2018 01:37,73617,1362,1.190000057,0.029999999,176932,39.75,0.430000007,1,39.75,38.56000137,16.57999992,Southeast Asia,Capital Nacional,PAYMENT_REVIEW,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,2/12/2018 01:37,Second Class
DEBIT,2,1,65.23000336,200.7100067,Late delivery,1,76,Women's Clothing,Fayetteville,EE. UU.,XXXXXXXXX,Daryl,17464,Delaney,XXXXXXXXX,Consumer,NC,2544 Broad Brook View,28314.0,4,Apparel,35.06275177,-79.00574493,Pacific Asia,Suwon,Corea del Sur,17464,2/14/2018 09:36,73911,1363,15.10999966,0.07,177226,215.8200073,0.330000013,1,215.8200073,200.7100067,65.23000336,Eastern Asia,Gyeonggi,COMPLETE,,1363,76,,http://images.acmesports.sports/Summer+dresses,Summer dresses,215.8200073,0,2/14/2018 09:36,First Class
PAYMENT,2,4,17.8199997,53.99000168,Advance shipping,0,17,Cleats,Jamaica,EE. UU.,XXXXXXXXX,Rebecca,5803,Stewart,XXXXXXXXX,Corporate,NY,3225 Dusty Autumn Meadow,11434.0,4,Apparel,40.70177841,-73.80841827,Europe,Amsterdam,Países Bajos,5803,2/10/2018 16:44,66666,365,6.0,0.100000001,166644,59.99000168,0.330000013,1,59.99000168,53.99000168,17.8199997,Western Europe,Holanda Septentrional,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,2/10/2018 16:44,Standard Class
