Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
DEBIT,0,1,31.37,180.66,Advance shipping,0,22,Fishing,Bayamón,EE. UU.,XXXXXXXXX,William,10402,Harris,XXXXXXXXX,Corporate,MA,1375 Sample Street,26436,22,Outdoors,2.74706181,54.54322598,Europe,Accra,China,10402,1/1/2019 06:51,104003,627,12.5,0.25,207318,49.99,0.2092,4,149.97,199.96,31.37,Southern Europe,AZ,SUSPECTED_FRAUD,16732,627,22,,http://images.acmesports.sports/Fishing,Fishing,49.99,0,1/1/2019 06:51,Same Day
DEBIT,4,1,17.44,275.6,Late delivery,1,73,Cleats,Carolina,EE. UU.,XXXXXXXXX,Eric,18464,Rodriguez,XXXXXXXXX,Corporate,TX,4367 Sample Street,38878,73,Fan Shop,45.15419826,24.03050963,Pacific Asia,Amsterdam,Uganda,18464,1/1/2019 13:05,104004,502,14.4,0.16,207319,89.99,0.0769,3,226.77,269.97,17.44,Southeast Asia,WA,PROCESSING,25786,502,73,,http://images.acmesports.sports/Cleats,Cleats,89.99,0,1/5/2019 13:05,Same Day
PAYMENT,3,3,7.2,243.9,Shipping on time,0,44,Men's Footwear,Chicago,EE. UU.,XXXXXXXXX,Kevin,10936,Rivera,XXXXXXXXX,Corporate,VA,9148 Sample Street,40016,44,Footwear,48.14345126,-149.0974076,LATAM,Managua,Nueva Zelanda,10936,1/1/2019 15:54,104005,191,16,0.2,207320,79.99,0.0375,3,191.98,239.97,7.2,Central America,CA,CLOSED,,191,44,,http://images.acmesports.sports/Men's+Footwear,Men's Footwear,79.99,0,1/4/2019 15:54,Second Class
PAYMENT,4,3,-68.4,2461.67,Late delivery,1,73,Shop By Sport,San Antonio,EE. UU.,XXXXXXXXX,Justin,13330,King,XXXXXXXXX,Corporate,FL,1222 Sample Street,17231,73,Fan Shop,-27.13927781,-107.16117716,Africa,Istanbul,EE. UU.,13330,1/1/2019 12:57,104006,365,0,0,207321,499.99,-0.0342,4,1999.96,1999.96,-68.4,West Africa,WA,CLOSED,,365,73,,http://images.acmesports.sports/Shop+By+Sport,Shop By Sport,499.99,0,1/5/2019 12:57,Second Class
TRANSFER,4,4,-38,383.91,Shipping on time,0,8,Electronics,Bronx,Puerto Rico,XXXXXXXXX,Kenneth,10148,Harris,XXXXXXXXX,Home Office,PR,9211 Sample Street,921,8,Technology,-38.03877242,-56.18506278,Europe,Prague,Francia,10148,1/1/2019 00:48,104007,191,50,0.2,207322,249.99,-0.095,2,399.98,499.98,-38,Eastern Europe,MI,CANCELED,,191,8,,http://images.acmesports.sports/Electronics,Electronics,249.99,0,1/5/2019 00:48,Standard Class
PAYMENT,6,3,19.5,175.58,Late delivery,1,44,Men's Footwear,Ponce,EE. UU.,XXXXXXXXX,Paul,11256,Jackson,XXXXXXXXX,Corporate,MA,5862 Sample Street,33077,44,Footwear,-8.58995731,49.75969124,Africa,Mexico City,Sudán,11256,1/1/2019 11:05,104008,627,25,0.25,207323,99.99,0.13,2,149.98,199.98,19.5,West Africa,,COMPLETE,,627,44,,http://images.acmesports.sports/Men's+Footwear,Men's Footwear,99.99,0,1/7/2019 11:05,Second Class
PAYMENT,5,3,351.34,1193.31,Late delivery,1,73,Sporting Goods,Arecibo,Puerto Rico,XXXXXXXXX,Orli,13034,Robinson,XXXXXXXXX,Corporate,PR,2332 Sample Street,958,73,Fan Shop,13.58703237,127.92616193,USCA,Karachi,Alemania,13034,1/1/2019 12:02,104009,1360,15,0.05,207324,299.99,0.3082,4,1139.96,1199.96,351.34,East of USA,WA,PROCESSING,,1360,73,,http://images.acmesports.sports/Sporting+Goods,Sporting Goods,299.99,0,1/6/2019 12:02,Second Class
TRANSFER,4,1,30.4,330.37,Late delivery,1,2,Cardio Equipment,Dallas,EE. UU.,XXXXXXXXX,Walter,9240,Green,XXXXXXXXX,Corporate,NJ,756 Sample Street,36933,2,Fitness,52.11324241,32.05438644,Europe,Sydney,Corea del Sur,9240,1/1/2019 13:48,104010,810,80,0.2,207325,399.99,0.095,1,319.99,399.99,30.4,Eastern Europe,NJ,PROCESSING,89440,810,2,,http://images.acmesports.sports/Cardio+Equipment,Cardio Equipment,399.99,0,1/5/2019 13:48,Same Day
TRANSFER,3,3,-21.75,638.26,Shipping on time,0,73,Shop By Sport,Dallas,EE. UU.,XXXXXXXXX,Sarah,4864,Harris,XXXXXXXXX,Consumer,NC,4299 Sample Street,39155,73,Fan Shop,-17.19471169,-164.50510773,Pacific Asia,Guatemala City,República Dominicana,4864,1/1/2019 16:22,104011,627,24,0.08,207326,299.99,-0.0394,2,551.98,599.98,-21.75,West Asia,AZ,PENDING_PAYMENT,82859,627,73,,http://images.acmesports.sports/Shop+By+Sport,Shop By Sport,299.99,0,1/4/2019 16:22,Second Class
PAYMENT,5,3,6.77,448.57,Late delivery,1,22,Fishing,San Juan,EE. UU.,XXXXXXXXX,Barbara,9394,Davis,XXXXXXXXX,Home Office,PA,5316 Sample Street,73610,22,Outdoors,55.02827648,92.12935032,USCA,Jakarta,Colombia,9394,1/1/2019 09:06,104012,627,0,0,207327,119.99,0.0188,3,359.97,359.97,6.77,Canada,VA,PENDING_PAYMENT,36924,627,22,,http://images.acmesports.sports/Fishing,Fishing,119.99,0,1/6/2019 09:06,Second Class
