Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
TRANSFER,2,2,25.63,178.76,Shipping on time,0,22,Camping & Hiking,Ponce,Puerto Rico,XXXXXXXXX,Jack,9643,Martin,XXXXXXXXX,Home Office,PR,7350 Sample Street,932,22,Outdoors,35.16141161,42.51205775,USCA,Addis Ababa,China,9643,7/1/2018 17:29,88353,1360,16,0.2,191668,79.99,0.1335,3,191.98,239.97,25.63,East of USA,MA,PENDING_PAYMENT,,1360,22,,http://images.acmesports.sports/Camping+&+Hiking,Camping & Hiking,79.99,0,7/3/2018 17:29,First Class
TRANSFER,3,4,128.69,341.59,Advance shipping,0,22,Camping & Hiking,Carolina,Puerto Rico,XXXXXXXXX,James,11977,Hall,XXXXXXXXX,Home Office,PR,2624 Sample Street,914,22,Outdoors,-47.50304769,-118.1683867,Africa,Copenhagen,China,11977,7/1/2018 07:01,88354,403,32.5,0.25,191669,129.99,0.44,3,292.48,389.97,128.69,East Africa,NC,CLOSED,33125,403,22,,http://images.acmesports.sports/Camping+&+Hiking,Camping & Hiking,129.99,0,7/4/2018 07:01,Standard Class
CASH,2,1,-15.24,170.29,Late delivery,1,3,Women's Apparel,Phoenix,EE. UU.,XXXXXXXXX,Irene,14451,Miller,XXXXXXXXX,Home Office,IL,670 Sample Street,74271,3,Apparel,36.64661582,136.44410263,USCA,Seoul,Argentina,14451,7/1/2018 15:45,88355,191,8.8,0.16,191670,54.99,-0.0825,4,184.77,219.96,-15.24,US Center,VA,PROCESSING,,191,3,,http://images.acmesports.sports/Women's+Apparel,Women's Apparel,54.99,0,7/3/2018 15:45,Same Day
TRANSFER,2,3,8.75,213.98,Advance shipping,0,44,Men's Footwear,Carolina,Puerto Rico,XXXXXXXXX,Ronald,20426,Thomas,XXXXXXXXX,Corporate,PR,3309 Sample Street,985,44,Footwear,34.17594339,147.28982503,Africa,Colombo,República Dominicana,20426,7/1/2018 23:15,88356,1360,8,0.1,191671,79.99,0.0405,3,215.97,239.97,8.75,West Africa,NC,SUSPECTED_FRAUD,,1360,44,,http://images.acmesports.sports/Men's+Footwear,Men's Footwear,79.99,0,7/3/2018 23:15,Second Class
DEBIT,2,2,11.28,46.81,Shipping on time,0,3,Women's Apparel,Caguas,EE. UU.,XXXXXXXXX,David,6587,Martin,XXXXXXXXX,Consumer,AZ,9921 Sample Street,86636,3,Apparel,-34.01949787,101.49858579,Africa,Tokyo,Zambia,6587,7/1/2018 01:51,88357,502,5,0.1,191672,49.99,0.2507,1,44.99,49.99,11.28,Southern Africa,CA,PROCESSING,,502,3,,http://images.acmesports.sports/Women's+Apparel,Women's Apparel,49.99,0,7/3/2018 01:51,First Class
CASH,1,1,31.35,509.67,Shipping on time,0,73,Shop By Sport,Caguas,Puerto Rico,XXXXXXXXX,Charles,8859,Williams,XXXXXXXXX,Corporate,PR,3826 Sample Street,939,73,Fan Shop,-8.44315509,-1.99784844,USCA,Ho Chi Minh City,Canadá,8859,7/1/2018 01:39,88358,365,25,0.05,191673,499.99,0.066,1,474.99,499.99,31.35,East of USA,VA,SUSPECTED_FRAUD,,365,73,,http://images.acmesports.sports/Shop+By+Sport,Shop By Sport,499.99,0,7/2/2018 01:39,Same Day
TRANSFER,2,1,162.69,468.31,Late delivery,1,2,Cardio Equipment,Los Angeles,EE. UU.,XXXXXXXXX,Daniel,10119,Hernandez,XXXXXXXXX,Corporate,CO,1384 Sample Street,35522,2,Fitness,31.94189323,127.31783776,Africa,Buenos Aires,Brasil,10119,7/1/2018 20:55,88359,403,90,0.15,191674,599.99,0.319,1,509.99,599.99,162.69,Central Africa,PA,PAYMENT_REVIEW,,403,2,,http://images.acmesports.sports/Cardio+Equipment,Cardio Equipment,599.99,0,7/3/2018 20:55,Same Day
PAYMENT,2,3,7.8,25.72,Advance shipping,0,73,Sporting Goods,San Juan,EE. UU.,XXXXXXXXX,Thomas,7329,Johnson,XXXXXXXXX,Home Office,TX,2602 Sample Street,24402,73,Fan Shop,63.06514783,-48.5231733,Africa,Vienna,Indonesia,7329,7/1/2018 16:48,88360,810,6,0.2,191675,29.99,0.3252,1,23.99,29.99,7.8,North Africa,IL,CANCELED,,810,73,,http://images.acmesports.sports/Sporting+Goods,Sporting Goods,29.99,0,7/3/2018 16:48,Second Class
DEBIT,4,2,512.99,1333.9,Late delivery,1,2,Cardio Equipment,Bronx,EE. UU.,XXXXXXXXX,Eric,12208,Clark,XXXXXXXXX,Corporate,PA,9212 Sample Street,21126,2,Fitness,-18.64214937,49.81771309,Pacific Asia,Abidjan,Polonia,12208,7/1/2018 08:34,88361,627,0,0,191676,399.99,0.4275,3,1199.97,1199.97,512.99,Oceania,NY,PENDING,,627,2,,http://images.acmesports.sports/Cardio+Equipment,Cardio Equipment,399.99,0,7/5/2018 08:34,First Class
CASH,4,3,10.05,126.5,Late delivery,1,3,Women's Apparel,Bronx,Puerto Rico,XXXXXXXXX,Jerry,17365,Hernandez,XXXXXXXXX,Consumer,PR,5038 Sample Street,931,3,Apparel,-26.73046038,-142.96775812,LATAM,Paris,Canadá,17365,7/1/2018 14:51,88362,810,8.8,0.16,191677,54.99,0.0725,3,138.57,164.97,10.05,Central America,NJ,PROCESSING,46869,810,3,,http://images.acmesports.sports/Women's+Apparel,Women's Apparel,54.99,0,7/5/2018 14:51,Second Class
