Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
TRANSFER,3,3,21.69,259.83,Shipping on time,0,22,Fishing,Ponce,Puerto Rico,XXXXXXXXX,Daniel,20908,Scott,XXXXXXXXX,Corporate,PR,4329 Sample Street,941,22,Outdoors,-22.97175273,135.44356382,Pacific Asia,Sydney,Australia,20908,5/1/2018 00:02,83655,403,4.99,0.04,186970,124.7,0.0906,2,239.42,249.4,21.69,Oceania,,PENDING_PAYMENT,,403,22,,http://images.acmesports.sports/Shimano+SLX+Baitcast+Reel,Shimano SLX Baitcast Reel,124.7,0,5/4/2018 00:02,Standard Class
PAYMENT,4,3,32.87,162.35,Shipping on time,1,3,Women's Apparel,Caguas,Puerto Rico,XXXXXXXXX,John,18001,Thompson,XXXXXXXXX,Corporate,PR,4429 Sample Street,939,3,Apparel,49.48596251,11.40134744,Europe,Rome,Alemania,18001,5/1/2018 00:20,83656,627,7.48,0.12,186971,62.35,0.1997,3,164.6,187.04,32.87,Western Europe,,COMPLETE,,627,3,,http://images.acmesports.sports/Columbia+Women's+Saturday+Trail+Pant,Columbia Women's Saturday Trail Pant,62.35,0,5/5/2018 00:20,Standard Class
TRANSFER,5,3,-3.53,89.23,Late delivery,1,73,Cleats,Bayamón,Puerto Rico,XXXXXXXXX,Robert,4338,Miller,XXXXXXXXX,Home Office,PR,9639 Sample Street,913,73,Fan Shop,50.61560762,10.87139626,Europe,Madrid,Reino Unido,4338,5/1/2018 01:13,83657,627,15.59,0.15,186972,103.92,-0.04,1,88.33,103.92,-3.53,Western Europe,AZ,COMPLETE,,627,73,,http://images.acmesports.sports/Adidas+Men's+Predator+Football+Cleat,Adidas Men's Predator Football Cleat,103.92,0,5/6/2018 01:13,Standard Class
TRANSFER,5,3,17.89,94.61,Late delivery,1,22,Fishing,Bayamón,Puerto Rico,XXXXXXXXX,Karen,13928,Nelson,XXXXXXXXX,Consumer,PR,6983 Sample Street,928,22,Outdoors,45.43908704,12.35526408,Europe,Paris,Italia,13928,5/1/2018 01:41,83658,191,5.2,0.1,186973,51.95,0.1913,2,93.51,103.91,17.89,Western Europe,,PROCESSING,,191,22,,http://images.acmesports.sports/O'Brien+Men's+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,51.95,0,5/6/2018 01:41,Standard Class
DEBIT,3,3,51.11,168.75,Shipping on time,0,44,Men's Footwear,New York,EE. UU.,XXXXXXXXX,Linda,20730,Jackson,XXXXXXXXX,Corporate,IL,9940 Sample Street,97416,44,Footwear,52.49266925,26.7762988,Europe,Warsaw,Rusia,20730,5/1/2018 01:59,83659,191,16.63,0.16,186974,103.92,0.2928,2,174.57,207.83,51.11,Eastern Europe,VA,PROCESSING,,191,44,,http://images.acmesports.sports/Nike+Men's+Free+5.0++Running+Shoe,Nike Men's Free 5.0+ Running Shoe,103.92,0,5/4/2018 01:59,Standard Class
DEBIT,2,3,23.65,96.59,Advance shipping,0,3,Women's Apparel,San Diego,EE. UU.,XXXXXXXXX,Jennifer,10249,Garcia,XXXXXXXXX,Consumer,AZ,1507 Sample Street,97484,3,Apparel,13.15136541,-84.06679264,LATAM,San José,Costa Rica,10249,5/1/2018 02:02,83660,502,6.86,0.12,186975,57.15,0.2351,2,100.58,114.3,23.65,Central America,,PENDING,,502,3,,http://images.acmesports.sports/Under+Armour+Women's+Armour+Fleece+Hoodie,Under Armour Women's Armour Fleece Hoodie,57.15,0,5/3/2018 02:02,Standard Class
DEBIT,5,3,36.11,182.58,Late delivery,1,22,Camping & Hiking,Bronx,EE. UU.,XXXXXXXXX,Steven,1623,Miller,XXXXXXXXX,Consumer,IL,5247 Sample Street,82012,22,Outdoors,-15.37271348,-55.70646197,LATAM,Bogotá,Colombia,1623,5/1/2018 03:03,83661,403,12.47,0.15,186976,83.13,0.2555,2,141.32,166.26,36.11,South America,,COMPLETE,,403,22,,http://images.acmesports.sports/Coleman+Sundome+4-Person+Tent,Coleman Sundome 4-Person Tent,83.13,0,5/6/2018 03:03,Second Class
CASH,5,2,-2.06,55.14,Late delivery,1,3,Women's Apparel,Houston,EE. UU.,XXXXXXXXX,Donald,20909,Thompson,XXXXXXXXX,Consumer,CO,6221 Sample Street,75000,3,Apparel,19.9599109,77.37180174,Pacific Asia,Karachi,India,20909,5/1/2018 03:29,83662,502,4.57,0.08,186977,57.15,-0.0391,1,52.58,57.15,-2.06,South Asia,,PENDING_PAYMENT,,502,3,,http://images.acmesports.sports/Under+Armour+Women's+Armour+Fleece+Hoodie,Under Armour Women's Armour Fleece Hoodie,57.15,0,5/6/2018 03:29,Standard Class
CASH,3,3,5.15,177.94,Shipping on time,0,22,Fishing,San Diego,EE. UU.,XXXXXXXXX,Karen,6670,Wright,XXXXXXXXX,Consumer,WA,3025 Sample Street,92229,22,Outdoors,26.90239474,16.51942801,Africa,Algiers,Túnez,6670,5/1/2018 03:36,83663,810,14.96,0.16,186978,93.52,0.0328,2,157.13,187.05,5.15,North Africa,AZ,PENDING,,810,22,,http://images.acmesports.sports/Penn+Battle+II+Spinning+Reel,Penn Battle II Spinning Reel,93.52,0,5/4/2018 03:36,Second Class
DEBIT,4,3,17.88,116.66,Shipping on time,1,3,Women's Apparel,Brooklyn,EE. UU.,XXXXXXXXX,David,192,Green,XXXXXXXXX,Home Office,NC,3662 Sample Street,51170,3,Apparel,2.43767467,109.80909671,Pacific Asia,Ho Chi Minh City,Vietnam,192,5/1/2018 03:55,83664,1360,5.2,0.1,186979,51.95,0.1912,2,93.51,103.91,17.88,Southeast Asia,,COMPLETE,26936.0,1360,3,,http://images.acmesports.sports/Nike+Men's+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,51.95,0,5/5/2018 03:55,Standard Class
